source_hackathon,month,project_tech,tPrimary,tRuby,TJava,TC#,TPython,TPhp,TJavascript,project_type,project_category,project_views,project_longd,project_name,comment_2,comment_1,project_description
Angelhack-Manila,8, CodeIgniter Cluster point Clusterpoint database,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Web App,Professional Services,35,,Real Job,,,Real Job in Realtime
Angelhack-Manila,8, Ruby on Rails Android CSS HTML Javascript,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Android,Social Media,36,,Farmr,,https://github.com/gerardvcruz/farmr,Farmr connects farmers to buyers and helps them manage inventory
Angelhack-Manila,8, CodeIgniter Semantic-UI bluemix Node-red,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Medical,29,,SeizeTheDay! (STD),,,Revolutionize your reproductive health information and examination.
Angelhack-Manila,8, Java Android AngularJS Spring Boot,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Android,Consumer,39,"expresv is a creative playground for millenials and subject matter experts to collaborate on simple and effective solutions for each other's real life and day-to-day problems, building a better world, one solution at a time",expresv,,,Help. And get help.
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,28,"We believe that great experience matters... a lot. There is a lot of elegant and friendly pre-event (ticketing) and post-event (feedback) solutions to make events organisation as painless as possible. However, the same is not true for in-event solutions. There are still a lot of problems/pains that are not addressed in the actual event. While others focus on the before and after of an event, we fill the gap in between.",Pinpoint,,,Crafting in-event experience
Angelhack-Manila,8, node.js Express.js Google Maps API bluemix Clusterpoint database Bootstrap,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,39,"Park'd not only provides a way for you to find places you can park in, it even shows you how filled those parkings are.",Park'd,,,Find yourself a parking slot when you need it the most
Angelhack-Manila,8, Java PHP Android Amazon AWS html/css Bootstrap XAMPP Javascript,Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Android,Consumer,27,"Tired of spending too much time on integrating Ads, Tracking, Analytics and In-App-Purchases integration? No Worries! Coz Wrap It App! is here to SAVE THE DAY! Wrap It App! is a web application that integrates the SDKs you need into your mobile app with just one click of a button and no additional coding effort at all. User needs to upload the app he wishes to integrate SDK services to. SDK services to integrate can be chosen by the user via Wrap It App!'s dashboard.",Wrap It App!,,"Saves you money, time & effort in developing your apps! :D",Integrate SDKs into App w/ ONE CLICK
Angelhack-Manila,8, ASP.NET C# MySQL QrCode Windows Azure,C#,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IOS,Consumer,29,,Nomnom.ph,,,Fast Food Even Faster
Angelhack-Manila,8, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Professional Services,32,Uber for handymen,Skilld,,Web version repository: https://github.com/kristianguevara/skilld iOS version repository: https://github.com/jedt/skilld-ios,Jobs on Demand
Angelhack-Manila,8, PHP PostgreSQL Laravel Chikka API Azure IBM Bluemix,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Consumer,27,"An online parking reservation, payment and management system",Parking Manager,,,parking reservation made easy
Angelhack-Manila,8, PHP Laravel AngularJS telegram Javascript,Javascript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Web App,Consumer,31,"Romeo is an emoji-loving personal assistant who suggests activities based on your location, budget, and other preferences. Whether you're looking for activities with your partner, your family or just plan to go solo, he sure knows the best activities around!",Romeo,,,Your Personal Fun Planner
Angelhack-Manila,8, Laravel,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Web App,Social Media,19,,Enjoin,,,App that connects people through their interest
